20823	6109	0
32889	6317	3
115	6993	7
776	7793	1
101	1656	6
102	5627	2
239	3672	2
826	8387	9
23809	766	11
170	1812	0
103	2641	10
16668	4799	13
3336	302	0
103	1306	7
152	7874	30
2585	4592	16
281	2279	0
127	4711	32
6341	1514	4
116	2297	11
7	4036	11
107	391	25
1703	2420	35
17	3445	13
31331	4707	1
219	5021	1
31610	9974	0
2802	5136	27
5342	4927	6
58	615	15
838	5845	10
338	4888	5
3818	2625	21
722	4501	11
212	6212	1
22403	1768	21
103	6846	8
22056	1295	5
5675	5864	2
12	858	12
1269	8963	11
5187	8401	12
282	1832	8
112	8819	14
10530	9961	0
12	7581	9
452	1657	6
975	4990	4
153	4715	31
4591	4726	3
3703	1953	8
2816	8337	0
534	6242	11
130	2512	12
146	5759	4
806	9074	6
2813	1111	4
103	861	3
29477	7944	8
6442	115	7
29876	3821	2
7325	9200	25
102	6877	1
1136	2208	3
116	3354	5
2627	353	2
6640	3618	11
9	7907	6
117	2036	0
7666	2161	5
707	6005	2
3262	9705	6
108	4804	13
17042	4236	0
142	9579	2
12	2646	5
8218	6037	2
12073	8218	6
2227	3876	9
101	2969	5
238	1527	13
2789	236	13
101	8502	15
8855	1944	7
801	3165	11
18869	8441	28
287	1923	13
3597	9686	2
15721	82	18
26123	504	9
120	9185	9
101	7523	32
5292	2505	1
11192	6269	8
608	9718	31
172	9884	20
1595	9962	2
106	5017	9
1853	3203	2
10993	6874	4
102	4028	3
266	5628	7
175	9576	5
207	7521	4
211	8394	1
145	8528	5
368	6552	8
5938	7090	0
160	3084	4
5289	3027	11
1476	5339	1
206	3137	6
352	2428	13
407	1093	7
1418	5245	7
142	8	7
6242	3380	11
168	6387	0
485	6893	0
18699	7162	6
1659	3770	3
1650	7042	17
32884	3321	2
527	7391	19
958	1802	10
260	7780	7
349	6781	2
758	7490	5
138	9292	8
209	8420	0
5507	3268	10
4448	6363	0
180	7916	3
101	6014	25
14246	2772	4
102	8314	16
3995	5693	27
204	5907	11
12	2288	10
3456	7542	10
111	8860	11
6561	439	8
13042	5810	14
105	5333	0
114	156	18
1115	4221	12
102	2196	12
4637	3947	9
115	7005	6
707	8635	2
111	1693	16
113	697	2
21301	378	8
12	3226	2
438	8210	9
1621	1278	0
2724	7962	9
128	6258	5
1014	7905	8
1493	507	3
2	4815	3
2425	6154	7
201	2559	6
1279	5376	4
22595	7548	5
10126	9170	0
4770	4738	16
1806	5884	0
103	6261	9
6190	7941	0
105	8051	7
115	6270	14
12276	374	4
359	7117	5
537	4173	0
4367	4766	2
270	7056	0
117	2137	0
16438	9633	9
191	4075	2
1019	4853	18
9926	147	4
5930	3812	14
22060	6786	4
14308	9271	4
1566	7490	0
1269	3694	2
504	2594	13
3125	8541	5
912	712	0
24435	7227	0
30915	3898	8
549	1528	0
3927	4677	5
101	8636	24
178	8611	18
3573	3713	7
657	2242	6
4273	1101	2
1935	4589	6
29035	9059	0
1699	2172	2
128	2167	11
153	6120	10
333	3556	7
1724	8163	2
607	8693	4
2396	7538	6
231	8193	10
626	961	0
185	3707	9
288	554	4
8	6182	9
883	5379	15
112	5108	14
5627	446	12
29163	2496	11
12	3476	6
251	858	15
7618	740	12
107	3626	25
14099	8545	25
2278	7777	6
7643	3530	6
212	4256	1
623	2162	1
19707	4855	0
3832	9000	2
257	8313	1
452	4186	3
339	8464	7
1864	5223	12
7165	2211	7
168	5681	11
3397	7345	8
8914	6759	20
292	1821	8
120	34	17
476	4403	15
2481	4939	12
1076	5661	4
1735	2987	4
149	2162	11
122	2606	4
659	9708	0
104	3270	38
12	6993	14
27354	2510	11
101	8637	12
107	7520	5
102	5040	7
659	9800	10
267	4921	8
1015	4348	5
15058	8647	6
108	103	12
591	394	17
924	7783	8
102	2745	0
240	1239	8
160	1157	10
4574	147	5
105	6554	7
105	5493	0
1547	1942	12
332	9743	6
11994	9803	8
1407	679	18
776	4020	20
1525	7044	3
448	8619	4
291	4734	4
4392	6742	17
240	1882	4
32111	268	3
132	4597	7
27613	2727	4
417	6172	5
980	920	6
4371	8051	8
2773	7462	0
107	9389	1
570	8971	16
583	1085	17
12	9554	8
16121	57	4
101	5947	5
